.region_id,ecometric,year,value,time_period
25025100601,Guns,2010,0.2,2010-01-01
25025100601,Guns,2011,3.09,2011-01-01
25025100601,Guns,2012,4.44,2012-01-01
25025100601,Guns,2013,5.01,2013-01-01
25025100601,Guns,2014,2.67,2014-01-01
25025100601,Guns,2015,2.2,2015-01-01
25025100601,Guns,2016,2.37,2016-01-01
25025100601,Guns,2017,1.36,2017-01-01
25025100601,Guns,2018,0.85,2018-01-01
25025100601,Guns,2019,0.67,2019-01-01
25025100500,Guns,2010,1.23,2010-01-01
25025100500,Guns,2011,6.43,2011-01-01
25025100500,Guns,2012,7.9,2012-01-01
25025100500,Guns,2013,10.24,2013-01-01
25025100500,Guns,2014,8.3,2014-01-01
25025100500,Guns,2015,9.54,2015-01-01
25025100500,Guns,2016,10.63,2016-01-01
25025100500,Guns,2017,6,2017-01-01
25025100500,Guns,2018,5.18,2018-01-01
25025100500,Guns,2019,6.37,2019-01-01
25025100400,Guns,2010,0.65,2010-01-01
25025100400,Guns,2011,4.95,2011-01-01
25025100400,Guns,2012,8.12,2012-01-01
25025100400,Guns,2013,6.91,2013-01-01
25025100400,Guns,2014,6.25,2014-01-01
25025100400,Guns,2015,5.65,2015-01-01
25025100400,Guns,2016,10.76,2016-01-01
25025100400,Guns,2017,6,2017-01-01
25025100400,Guns,2018,3.71,2018-01-01
25025100400,Guns,2019,3.51,2019-01-01
25025100300,Guns,2010,0.55,2010-01-01
25025100300,Guns,2011,4.69,2011-01-01
25025100300,Guns,2012,7.91,2012-01-01
25025100300,Guns,2013,9.34,2013-01-01
25025100300,Guns,2014,9.11,2014-01-01
25025100300,Guns,2015,8.86,2015-01-01
25025100300,Guns,2016,3.2,2016-01-01
25025100300,Guns,2017,10.83,2017-01-01
25025100300,Guns,2018,7.14,2018-01-01
25025100300,Guns,2019,3.65,2019-01-01
25025100200,Guns,2010,1.49,2010-01-01
25025100200,Guns,2011,10.07,2011-01-01
25025100200,Guns,2012,13.21,2012-01-01
25025100200,Guns,2013,14.98,2013-01-01
25025100200,Guns,2014,11.99,2014-01-01
25025100200,Guns,2015,6.93,2015-01-01
25025100200,Guns,2016,6.62,2016-01-01
25025100200,Guns,2017,9.14,2017-01-01
25025100200,Guns,2018,8.51,2018-01-01
25025100200,Guns,2019,9.59,2019-01-01
25025100100,Guns,2010,0.16,2010-01-01
25025100100,Guns,2011,8.9,2011-01-01
25025100100,Guns,2012,8.79,2012-01-01
25025100100,Guns,2013,10.9,2013-01-01
25025100100,Guns,2014,11.03,2014-01-01
25025100100,Guns,2015,11.12,2015-01-01
25025100100,Guns,2016,9.64,2016-01-01
25025100100,Guns,2017,8.9,2017-01-01
25025100100,Guns,2018,7.42,2018-01-01
25025100100,Guns,2019,8.12,2019-01-01
25025092400,Guns,2010,1.19,2010-01-01
25025092400,Guns,2011,9.42,2011-01-01
25025092400,Guns,2012,8.22,2012-01-01
25025092400,Guns,2013,10.47,2013-01-01
25025092400,Guns,2014,13.41,2014-01-01
25025092400,Guns,2015,10.19,2015-01-01
25025092400,Guns,2016,11.2,2016-01-01
